Date,^gspc,^dji,^ixic,FZROX,FZILX,FEMKX,FNILX,FMSDX,FSSNX,FXNAX,FSHBX,FUAMX,FNBGX,VTI,VXUS,VWO,VV,VO,VB,BND,BSV,VTIP,VGIT,VGLT
2020-02-20,3373.22998046875,29219.98046875,9750.9697265625,11.10216236114502,9.038765907287598,31.98713493347168,11.11036491394043,9.708331108093262,19.635610580444336,10.54355239868164,7.704809665679932,9.995137214660645,12.871235847473145,158.52841186523438,46.96101760864258,37.13125228881836,143.6583709716797,171.03965759277344,157.85513305664062,74.29403686523438,72.70865631103516,41.35637664794922,59.332061767578125,77.7308349609375
2020-02-21,3337.75,28992.41015625,9576.58984375,10.98983097076416,9.003596305847168,31.72405242919922,10.988065719604492,9.683794975280762,19.43384552001953,10.56091022491455,7.704809665679932,10.03035831451416,12.989629745483398,156.90296936035156,46.71272659301758,36.99429702758789,142.2261505126953,169.12057495117188,155.9569549560547,74.47633361816406,72.78929138183594,41.398155212402344,59.48223114013672,78.44063568115234
2020-02-24,3225.889892578125,27960.80078125,9221.2802734375,10.624751091003418,8.687065124511719,30.708009719848633,10.621170043945312,9.503862380981445,18.846879959106445,10.60429859161377,7.713625431060791,10.09200668334961,13.18413257598877,151.7402801513672,44.983253479003906,35.69325637817383,137.41195678710938,164.1988067626953,151.3272247314453,74.7106704711914,72.96844482421875,41.43156814575195,59.79142379760742,79.58321380615234
2020-02-25,3128.2099609375,27081.359375,8965.6103515625,10.297115325927734,8.54638385772705,30.36328887939453,10.301311492919922,9.340283393859863,18.195728302001953,10.612969398498535,7.722442150115967,10.118424415588379,13.260248184204102,147.10403442382812,44.36681365966797,35.4107780456543,133.2815704345703,158.84555053710938,146.2715606689453,74.77142333984375,73.03114318847656,41.41485595703125,59.932735443115234,80.14584350585938
2020-02-26,3116.389892578125,26957.58984375,8980.7802734375,10.240949630737305,8.563968658447266,30.444936752319336,10.26368236541748,9.283031463623047,17.975618362426758,10.60429859161377,7.722442150115967,10.109615325927734,13.18413257598877,146.29127502441406,44.452430725097656,35.633331298828125,132.69943237304688,157.1100616455078,144.35484313964844,74.72804260253906,73.06700134277344,41.42321014404297,59.932735443115234,79.67840576171875
2020-02-27,2978.760009765625,25766.640625,8566.48046875,9.800982475280762,8.326570510864258,29.837121963500977,9.812117576599121,9.111271858215332,17.34280014038086,10.621651649475098,7.731256008148193,10.153646469116211,13.319446563720703,139.88182067871094,43.185298919677734,34.777374267578125,126.71173095703125,150.77426147460938,139.03067016601562,74.81484985351562,73.16551971435547,41.45663070678711,60.15357208251953,80.52667236328125
2020-02-28,2954.219970703125,25409.359375,8567.3701171875,9.7167329788208,8.265020370483398,29.710119247436523,9.727449417114258,9.126043319702148,17.095178604125977,10.712078094482422,7.760389804840088,10.275360107421875,13.640547752380371,138.93980407714844,43.02261734008789,34.68321990966797,125.82464599609375,148.89187622070312,137.45657348632812,75.30960845947266,73.41639709472656,41.49004364013672,60.63058090209961,82.28388214111328
2020-03-02,3090.22998046875,26703.3203125,8952.169921875,10.137979507446289,8.3969087600708,30.32699966430664,10.1790132522583,9.273767471313477,17.58125114440918,10.694690704345703,7.751560211181641,10.257725715637207,13.538877487182617,144.6935272216797,43.49351501464844,35.35086441040039,131.6737518310547,154.511474609375,141.29922485351562,75.26004791259766,73.46755981445312,41.48169708251953,60.56684875488281,81.6648941040039
2020-03-03,3003.3701171875,25917.41015625,8684.08984375,9.866510391235352,8.31777572631836,30.036699295043945,9.8967866897583,9.191699028015137,17.214406967163086,10.772942543029785,7.778045654296875,10.372381210327148,13.742219924926758,140.96238708496094,43.09967803955078,35.17967987060547,127.99608612060547,151.24253845214844,138.03065490722656,75.71234130859375,73.79061889648438,41.69892120361328,61.159629821777344,82.96528625488281
2020-03-04,3130.1201171875,27090.859375,9018.08984375,10.269034385681152,8.528797149658203,30.79872703552246,10.31071949005127,9.34762954711914,17.737167358398438,10.7555570602417,7.786877155303955,10.354743003845215,13.60665512084961,146.59608459472656,44.21269989013672,35.6761360168457,133.37396240234375,156.8253936767578,142.391845703125,75.6949234008789,73.88033294677734,41.665496826171875,61.062294006347656,82.13301849365234
2020-03-05,3023.93994140625,26121.279296875,8738.58984375,9.922675132751465,8.361739158630371,30.290708541870117,9.972046852111816,9.199907302856445,17.13186264038086,10.807722091674805,7.786877155303955,10.416484832763672,13.920136451721191,141.71046447753906,43.15105438232422,34.991363525390625,128.9478759765625,151.866943359375,137.5583953857422,75.98196411132812,73.94316101074219,41.70726776123047,61.35422897338867,84.0489730834961
2020-03-06,2972.3701171875,25864.779296875,8575.6201171875,9.744815826416016,8.212265014648438,29.6466121673584,9.802709579467773,9.109636306762695,16.783353805541992,10.88597583770752,7.7957048416137695,10.495865821838379,14.623346328735352,139.07833862304688,42.50892639160156,34.33228302001953,126.73945617675781,148.26742553710938,134.79908752441406,76.50379943847656,74.0418701171875,41.590309143066406,61.69928741455078,88.175537109375
2020-03-09,2746.56005859375,23851.01953125,7950.68017578125,8.986574172973633,7.570405960083008,27.74153709411621,9.059510231018066,8.674665451049805,15.215075492858887,10.859895706176758,7.778045654296875,10.566426277160645,14.98766040802002,127.91252136230469,39.15272521972656,31.772985458374023,116.94476318359375,135.1826171875,121.96552276611328,76.33856201171875,74.03289031982422,40.83837127685547,62.0620002746582,91.05375671386719
